bilal@hd286aicp01:~$ kubectl get secrets -n elasticsearch
NAME                                         TYPE                             DATA   AGE
elasticsearch-es-data-es-config              Opaque                           1      43d
elasticsearch-es-data-es-transport-certs     Opaque                           7      42d
elasticsearch-es-elastic-user                Opaque                           1      42d
elasticsearch-es-file-settings               Opaque                           1      42d
elasticsearch-es-http-ca-internal            Opaque                           2      42d
elasticsearch-es-http-certs-internal         Opaque                           3      42d
elasticsearch-es-http-certs-public           Opaque                           2      42d
elasticsearch-es-internal-users              Opaque                           5      42d
elasticsearch-es-master-es-config            Opaque                           1      43d
elasticsearch-es-master-es-transport-certs   Opaque                           7      42d
elasticsearch-es-remote-ca                   Opaque                           1      42d
elasticsearch-es-transport-ca-internal       Opaque                           2      42d
elasticsearch-es-transport-certs-public      Opaque                           1      42d
elasticsearch-es-xpack-file-realm            Opaque                           4      43d
elasticsearch-kibana-kibana-user             Opaque                           2      43d
kibana-kb-config                             Opaque                           2      71d
kibana-kb-es-ca                              Opaque                           2      71d
kibana-kibana-user                           Opaque                           4      71d
regcred                                      kubernetes.io/dockerconfigjson   1      35d
